user_id,tv_show_id,source,created_at,updated_at,tv_show_name
11519429,71278,see-season,2020-02-07 11:07:14,2020-02-07 11:07:14,Hellsing
11519429,71663,see-season,2020-04-02 11:20:12,2020-04-02 11:20:12,The Simpsons
11519429,72108,recommendation,2017-02-23 10:57:32,2017-02-23 10:57:32,NCIS
11519429,72173,recommendation,2017-02-22 12:59:34,2017-02-22 12:59:34,Arrested Development
11519429,73739,recommendation,2017-02-22 12:58:31,2017-02-22 12:58:31,Lost
11519429,74845,recommendation,2017-02-22 14:36:05,2017-02-22 14:36:05,Weeds
11519429,75760,show-detail,2017-02-22 12:58:11,2017-02-22 12:58:11,How I Met Your Mother
11519429,76156,recommendation,2017-02-22 12:59:44,2017-02-22 12:59:44,Scrubs
11519429,79168,recommendation,2017-02-22 14:35:48,2017-02-22 14:35:48,Friends
11519429,79335,search,2017-02-22 18:27:05,2017-02-22 18:27:05,Psych
11519429,80337,recommendation,2017-02-22 13:00:37,2017-02-22 13:00:37,Mad Men
11519429,81472,recommendation,2017-02-23 10:57:11,2017-02-23 10:57:11,Dragon Ball Z
11519429,82276,search,2017-05-10 12:07:51,2017-05-10 12:07:51,Boris
11519429,94571,show-detail,2017-02-22 13:06:58,2017-02-22 13:06:58,Community
11519429,94991,recommendation,2017-02-22 14:36:13,2017-02-22 14:36:13,Cougar Town
11519429,95011,onboarding,2017-02-22 12:56:55,2017-02-22 12:56:55,Modern Family
11519429,121361,onboarding,2017-02-22 12:56:55,2017-02-22 12:56:55,Game of Thrones
11519429,134511,search,2017-02-22 14:33:59,2017-02-22 14:33:59,Blue Mountain State
11519429,153021,onboarding,2017-02-22 12:56:55,2017-02-22 12:56:55,The Walking Dead
11519429,167571,recommendation,2017-02-22 13:00:33,2017-02-22 13:00:33,Happy Endings
11519429,171591,see-season,2020-02-07 15:28:31,2020-02-07 15:28:31,High School of the Dead
11519429,176941,onboarding,2017-02-22 12:56:55,2017-02-22 12:56:55,Sherlock
11519429,247808,onboarding,2017-02-22 12:56:55,2017-02-22 12:56:55,Suits
11519429,248682,onboarding,2017-02-22 12:56:55,2017-02-22 12:56:55,New Girl
11519429,248812,recommendation,2017-02-22 12:59:07,2017-02-22 12:59:07,Don't Trust the B---- in Apartment 23
11519429,251889,search,2018-02-18 14:34:55,2018-02-18 14:34:55,Fresh Meat
11519429,253463,onboarding,2017-02-22 12:56:55,2017-02-22 12:56:55,Black Mirror
11519429,256227,recommendation,2017-02-22 13:01:01,2017-02-22 13:01:01,The Newsroom (2012)
11519429,261690,recommendation,2017-02-22 14:35:24,2017-02-22 14:35:24,The Americans (2013)
11519429,262980,onboarding,2017-02-22 12:56:55,2017-02-22 12:56:55,House of Cards (US)
11519429,265766,recommendation,2017-02-22 12:59:57,2017-02-22 12:59:57,Penny Dreadful
11519429,269586,recommendation,2017-02-22 12:59:40,2017-02-22 12:59:40,Brooklyn Nine-Nine
11519429,278335,(null)/show-detail,2017-11-12 20:04:53,2017-11-12 20:04:53,Mozart in the Jungle
11519429,280494,recommendation,2017-02-22 12:58:27,2017-02-22 12:58:27,Z Nation
11519429,281249,see-episode,2019-09-29 20:17:05,2019-09-29 20:17:05,Tokyo Ghoul
11519429,281470,recommendation,2017-02-22 12:58:53,2017-02-22 12:58:53,iZombie
11519429,281589,search,2017-11-12 20:02:53,2017-11-12 20:02:53,Marry Me (2014)
11519429,281593,search,2017-08-13 20:42:42,2017-08-13 20:42:42,Unbreakable Kimmy Schmidt
11519429,281632,see-episode,2017-11-12 20:08:22,2017-11-12 20:08:22,Weird Loners
11519429,282562,(null)/show-detail,2018-01-28 14:41:30,2018-01-28 14:41:30,Grace and Frankie
11519429,286126,search,2017-02-22 13:07:09,2017-02-22 13:07:09,Lovesick
11519429,289590,onboarding,2017-02-22 12:56:55,2017-02-22 12:56:55,Mr. Robot
11519429,290853,onboarding,2017-02-22 12:56:55,2017-02-22 12:56:55,Fear the Walking Dead
11519429,294560,recommendation,2017-02-22 13:00:58,2017-02-22 13:00:58,Wet Hot American Summer
11519429,295685,see-episode,2018-05-05 12:17:07,2018-05-05 12:17:07,Lucifer
11519429,295767,see-season,2020-02-28 12:48:59,2020-02-28 12:48:59,Containment
11519429,296295,(null)/show-detail,2017-11-05 17:47:23,2017-11-05 17:47:23,Ash vs Evil Dead
11519429,298901,recommendation,2017-02-22 14:32:23,2017-02-22 14:32:23,Master of None
11519429,305177,search,2017-07-16 11:56:36,2017-07-16 11:56:36,Crashing
11519429,305288,recommendation,2017-02-22 12:59:31,2017-02-22 12:59:31,Stranger Things
11519429,305378,recommendation,2017-02-22 14:32:17,2017-02-22 14:32:17,Love
11519429,305913,see-episode,2017-11-12 20:06:37,2017-11-12 20:06:37,Degrassi: Next Class
11519429,306249,show-detail,2017-03-26 20:01:17,2017-03-26 20:01:17,Flaked
11519429,308772,recommendation,2017-02-22 13:01:39,2017-02-22 13:01:39,Van Helsing
11519429,309066,search,2017-12-31 08:24:06,2017-12-31 08:24:06,Good Morning Call
11519429,311711,(null)/show-detail,2017-11-15 13:21:04,2017-11-15 13:21:04,The Good Place
11519429,311899,see-episode,2022-04-15 11:53:05,2022-04-15 11:53:05,Great News
11519429,311954,see-episode,2019-06-22 21:59:42,2019-06-22 21:59:42,Riverdale
11519429,311969,see-season,2020-03-22 13:24:55,2020-03-22 13:24:55,Trial & Error
11519429,312505,search,2017-06-22 20:25:05,2017-06-22 20:25:05,Dirk Gently's Holistic Detective Agency
11519429,314189,(null)/show-detail,2017-11-12 20:01:37,2017-11-12 20:01:37,Blood Drive
11519429,314884,recommendation,2017-02-22 14:32:28,2017-02-22 14:32:28,Easy
11519429,317654,see-episode,2019-05-16 21:03:02,2019-05-16 21:03:02,The Tick (2017)
11519429,319829,see-season,2019-10-10 21:18:01,2019-10-10 21:18:01,Brown Nation
11519429,320450,recommendation,2017-02-22 13:00:57,2017-02-22 13:00:57,Santa Clarita Diet
11519429,321060,recommendation,2017-02-22 12:59:25,2017-02-22 12:59:25,The OA
11519429,322246,see-episode,2017-09-24 12:01:52,2017-09-24 12:01:52,Girlboss
11519429,324835,search,2017-09-10 12:41:33,2017-09-10 12:41:33,GLOW
11519429,325517,see-season,2019-11-21 23:32:51,2019-11-21 23:32:51,Salvation
11519429,327359,see-episode,2017-09-24 12:02:15,2017-09-24 12:02:15,Disjointed
11519429,327417,see-episode,2018-04-16 21:20:23,2018-04-16 21:20:23,Money Heist
11519429,328972,see-episode,2017-09-10 12:42:31,2017-09-10 12:42:31,Friends from College
11519429,329096,see-episode,2020-06-22 21:12:47,2020-06-22 21:12:47,Ghost Wars
11519429,330997,see-season,2019-06-22 21:59:25,2019-06-22 21:59:25,Future Man
11519429,333595,see-episode,2018-09-12 21:46:43,2018-09-12 21:46:43,The Vietnam War (2017)
11519429,336522,search,2018-01-07 16:29:25,2018-01-07 16:29:25,The End of the F***ing World
11519429,337686,search,2017-12-31 08:24:14,2017-12-31 08:24:14,Blazing Transfer Students
11519429,346345,see-season,2019-10-21 19:45:40,2019-10-21 19:45:40,Back with the Ex
11519429,347648,see-season,2019-11-21 23:32:37,2019-11-21 23:32:37,Nightflyers
11519429,350587,see-season,2020-06-22 21:13:29,2020-06-22 21:13:29,Black Summer
11519429,350869,see-episode,2021-06-12 11:20:58,2021-06-12 11:20:58,The Kominsky Method
11519429,354735,see-season,2019-11-01 12:28:24,2019-11-01 12:28:24,Daybreak (2019)
11519429,355567,see-season,2019-09-02 20:55:45,2019-09-02 20:55:45,The Boys
11519429,355622,see-season,2020-01-06 22:27:50,2020-01-06 22:27:50,Doom Patrol
11519429,360261,see-episode,2022-03-07 20:43:15,2022-03-07 20:43:15,Euphoria (US)
11519429,361411,see-season,2019-11-21 23:32:16,2019-11-21 23:32:16,The Politician
11519429,362177,see-season,2020-01-06 22:31:18,2020-01-06 22:31:18,The Hockey Girls
11519429,364439,see-season,2023-01-03 17:28:33,2023-01-03 17:28:33,Emily in Paris
11519429,365722,see-season,2019-11-21 23:33:10,2019-11-21 23:33:10,Another Life
11519429,368523,see-season,2019-11-01 12:28:44,2019-11-01 12:28:44,Living with Yourself
11519429,371258,see-season,2019-11-27 14:16:57,2019-11-27 14:16:57,Mortel
11519429,371610,see-season,2020-01-06 22:28:06,2020-01-06 22:28:06,V-Wars
11519429,371856,see-season,2020-02-07 11:08:12,2020-02-07 11:08:12,Singapore Social
11519429,373186,see-season,2020-02-28 12:48:46,2020-02-28 12:48:46,Messiah (2020)
11519429,374441,see-season,2020-03-03 20:38:28,2020-03-03 20:38:28,Cheer (2020)
11519429,375998,see-season,2020-03-03 20:38:59,2020-03-03 20:38:59,I Am Not Okay With This
11519429,376164,see-episode,2020-12-06 21:26:59,2020-12-06 21:26:59,The Head (2020)
11519429,376459,see-season,2020-02-28 12:49:18,2020-02-28 12:49:18,Love is Blind
11519429,378024,see-season,2020-04-17 21:53:53,2020-04-17 21:53:53,Brews Brothers
11519429,379873,see-season,2023-06-03 19:48:31,2023-06-03 19:48:31,Ragnarok
11519429,379930,see-season,2020-04-24 07:45:19,2020-04-24 07:45:19,Absurd Planet
11519429,385764,see-season,2023-01-03 17:29:02,2023-01-03 17:29:02,High Score (2020)
11519429,387525,see-season,2022-07-27 08:23:18,2022-07-27 08:23:18,Resident Evil
11519429,397060,see-season,2022-12-20 12:55:48,2022-12-20 12:55:48,Wednesday
11519429,412874,see-season,2022-08-24 17:37:36,2022-08-24 17:37:36,Selling the OC
11519429,413031,see-season,2022-09-01 20:23:38,2022-09-01 20:23:38,Attack On Pearl Harbor: Minute By Minute
